0:(0,0);(0,0);(0,0);(0,0)
4:(-0.000229564,0.000785016),(-0.000777849,0.000172081),(-0.000543291,-0.000580081),(0.000256046,-0.000759286).
5:(-0.000236981,0.000771759),(-0.000796584,0.000157015),(-0.000477448,-0.000631642),(0.000292996,-0.000735999).
6:(-0.000214006,0.000760685),(-0.000790273,0.000120384),(-0.000488995,-0.000614387),(0.000318579,-0.000764794).
7:(-0.000256769,0.000753691),(-0.000781851,0.000131987),(-0.000553607,-0.000602851),(0.00026291,-0.000750512).
8:(-0.000229799,0.000759275),(-0.000776426,0.000163264),(-0.000488519,-0.000640953),(0.000272743,-0.000719981).
9:(-0.000202803,0.000761293),(-0.000800894,0.000159556),(-0.000495896,-0.000605373),(0.00030631,-0.000723203).
10:(-0.000269354,0.000811153),(-0.000726928,0.000168406),(-0.000476217,-0.000559232),(0.000312683,-0.000739938).
11:(-0.000242537,0.000780071),(-0.000766016,0.00020002),(-0.000521832,-0.000610401),(0.000283635,-0.000757119).
12:(-0.000272782,0.000763532),(-0.000763932,0.000167023),(-0.000480039,-0.000627263),(0.000291991,-0.000717004).
13:(-0.000285582,0.000731476),(-0.000783785,0.000137627),(-0.000544957,-0.00061178),(0.000291072,-0.000752248).
14:(-0.000240721,0.0007601),(-0.000742484,0.000182362),(-0.000525497,-0.00062289),(0.000293399,-0.000697123).
15:(-0.000237561,0.000746393),(-0.000773916,0.000105049),(-0.000515063,-0.000637033),(0.000279623,-0.000745678).
16:(-0.000181155,0.000789379),(-0.000755284,0.00014772),(-0.000431505,-0.000596981),(0.000267927,-0.000708711).
17:(-0.000203725,0.00080785),(-0.000775123,0.000103242),(-0.000498872,-0.000590942),(0.000329264,-0.000705427).
