(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:10:13.206, 	1, 	2, 	26.8137, 	26.3321, 	1, 	4, 	2.736, 	(-0.815215,-0.0807929);
18:10:13.227, 	1, 	2, 	28.6228, 	25.6277, 	1, 	4, 	2.736, 	(0.0923599,0.752179);
18:10:13.247, 	1, 	2, 	26.4418, 	25.1404, 	1, 	4, 	3.04, 	(0.515651,-0.194001);
18:10:13.267, 	1, 	2, 	28.1211, 	25.9067, 	1, 	4, 	3.04, 	(-0.697686,0.0628054);
18:10:13.287, 	1, 	2, 	27.0308, 	26.6766, 	1, 	4, 	3.04, 	(-0.912148,0.0816203);
18:10:13.307, 	1, 	2, 	28.5002, 	26.7107, 	1, 	4, 	3.04, 	(-0.611116,0.643899);
18:10:13.327, 	1, 	2, 	21.6607, 	23.7293, 	1, 	4, 	3.04, 	(-0.654587,-0.494124);
18:10:13.348, 	1, 	2, 	25.0548, 	26.2144, 	1, 	4, 	3.04, 	(-0.452506,0.663506);
18:10:13.368, 	1, 	2, 	27.5759, 	25.5125, 	1, 	4, 	3.04, 	(-0.484905,-0.237468);
18:10:13.388, 	1, 	2, 	18.9006, 	21.6806, 	1, 	4, 	3.04, 	(0.0473408,-0.733775);
18:10:13.408, 	1, 	2, 	29.0756, 	24.5728, 	1, 	4, 	3.04, 	(-0.373492,-0.398288);
18:10:13.428, 	1, 	2, 	22.7868, 	24.0737, 	1, 	4, 	3.04, 	(-0.543667,0.305242);
18:10:13.448, 	1, 	2, 	25.6287, 	27.4099, 	1, 	4, 	3.04, 	(0.720693,-0.60016);
18:10:13.469, 	1, 	2, 	28.2821, 	25.809, 	1, 	4, 	3.04, 	(0.375827,0.241646);
18:10:13.489, 	1, 	2, 	20.3045, 	23.295, 	1, 	4, 	3.04, 	(0.00662836,0.705987);
18:10:13.509, 	1, 	2, 	22.8369, 	24.2366, 	1, 	-1.38778e-15, 	3.04, 	(-0.493975,0.540877);
18:10:13.529, 	1, 	2, 	25.9908, 	25.2386, 	1, 	-1.38778e-15, 	3.04, 	(0.211332,0.713387);
18:10:13.552, 	1, 	2, 	27.7597, 	26.0512, 	1, 	-1.38778e-15, 	3.04, 	(0.730792,0.363403);
18:10:13.570, 	1, 	2, 	28.6865, 	25.9431, 	1, 	-1.38778e-15, 	3.04, 	(-0.670972,-0.368494);
18:10:13.590, 	1, 	2, 	29.2162, 	20.8878, 	1, 	-1.38778e-15, 	3.04, 	(0.377749,-0.475772);
18:10:13.610, 	1, 	2, 	29.5585, 	26.2083, 	1, 	-1.38778e-15, 	3.04, 	(0.609435,0.343961);
18:10:13.630, 	1, 	2, 	27.3673, 	26.7254, 	1, 	-1.38778e-15, 	3.04, 	(-0.658854,0.597387);
18:10:13.650, 	1, 	2, 	28.9353, 	25.4851, 	1, 	-1.38778e-15, 	3.04, 	(0.389697,-0.474177);
18:10:13.670, 	1, 	2, 	30.2837, 	25.2394, 	1, 	-1.38778e-15, 	3.04, 	(-0.617306,-0.511015);
