(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:13:42.610, 	0, 	1, 	14.8429, 	6.60424, 	0, 	36, 	1.216, 	(0.914436,-0.759935);(-1.28327,1.0327);(0.268203,-1.60619);(0.920297,1.20345);
19:13:42.632, 	1, 	2, 	13.5757, 	22.851, 	1, 	36, 	1.216, 	(0.532174,-0.419178);
19:13:42.692, 	1, 	2, 	14.9647, 	25.2997, 	1, 	36, 	1.52, 	(-0.597527,-0.366793);
19:13:42.712, 	1, 	2, 	15.1197, 	23.7903, 	1, 	36, 	1.824, 	(0.0733865,0.67859);
19:13:42.730, 	0, 	1, 	16.236, 	23.7903, 	1, 	36, 	1.824, 	(0.0733865,0.67859);
19:13:42.753, 	1, 	2, 	13.0205, 	21.401, 	1, 	40, 	1.824, 	(0.176071,0.528151);
19:13:42.773, 	1, 	2, 	14.7269, 	24.9728, 	1, 	40, 	2.128, 	(0.127439,0.671884);
19:13:42.790, 	0, 	1, 	16.0833, 	8.94807, 	1, 	40, 	2.128, 	(-1.11292,0.452249);(1.62358,-0.765442);(-0.39176,1.34954);(-0.705729,-1.10385);
19:13:42.833, 	1, 	2, 	15.8197, 	25.2953, 	1, 	44, 	1.824, 	(-0.656211,-0.233829);
19:13:42.851, 	0, 	1, 	15.5742, 	11.2691, 	1, 	44, 	1.824, 	(-0.482104,-0.467523);(0.586166,0.866571);(-1.63826,-0.267589);(1.05868,-0.983275);
19:13:42.891, 	0, 	1, 	15.3226, 	10.727, 	0, 	48, 	1.824, 	(-0.845046,-0.46664);(1.29415,0.766114);(-1.61959,0.512513);(0.572968,-1.46981);
19:13:42.911, 	0, 	1, 	14.9189, 	10.8658, 	0, 	48, 	1.824, 	(-1.17367,0.197051);(1.56372,-0.53595);(-0.300577,0.891666);(-0.46315,-0.824689);
19:13:42.951, 	0, 	1, 	15.0001, 	8.09558, 	0, 	52, 	1.52, 	(-0.932581,-0.807952);(1.47959,1.00626);(-1.31687,0.389035);(0.512539,-1.21517);
19:13:42.971, 	0, 	1, 	15.8648, 	8.14467, 	0, 	56, 	1.216, 	(-0.852493,1.03253);(0.804158,-1.44825);(0.474196,1.10557);(-1.06189,-0.339294);
19:13:43.012, 	0, 	1, 	16.3721, 	9.60282, 	0, 	56, 	0.912, 	(0.154894,-1.14303);(0.134717,1.47107);(-0.594488,-0.344226);(0.693484,-0.225814);
19:13:43.031, 	0, 	1, 	15.8332, 	8.46151, 	0, 	56, 	0.912, 	(0.704492,-0.608387);(-1.01873,0.841436);(-0.00545973,-1.71854);(1.26436,0.917447);
19:13:43.072, 	0, 	1, 	15.8087, 	9.50764, 	0, 	56, 	0.608, 	(-0.419219,1.12894);(0.429169,-1.58485);(0.999414,1.3421);(-1.56067,0.030664);
19:13:43.092, 	0, 	1, 	17.1884, 	10.0135, 	0, 	60, 	0.304, 	(0.410761,1.1102);(-0.865668,-1.60671);(1.45736,0.232538);(-1.01799,1.06993);
19:13:43.132, 	0, 	1, 	16.7306, 	11.0679, 	0, 	60, 	0.304, 	(1.2555,-0.50021);(-1.4142,0.962548);(-0.006512,-1.19515);(0.923502,0.637932);
19:13:43.152, 	0, 	1, 	17.2483, 	10.8066, 	0, 	60, 	-7.10543e-17, 	(0.23588,1.31458);(-0.657088,-1.43421);(0.953507,0.111866);(-0.593375,0.648539);
19:13:43.192, 	0, 	1, 	16.0546, 	12.7278, 	0, 	64, 	-7.10543e-17, 	(-1.20192,-0.812168);(1.5695,0.65573);(-1.17281,0.809132);(-0.0255446,-1.26751);
19:13:43.253, 	0, 	1, 	17.0913, 	11.8982, 	0, 	68, 	-7.10543e-17, 	(1.20909,0.411733);(-1.79925,-0.258044);(1.01415,-1.17731);(0.365702,1.3496);
19:13:43.313, 	0, 	1, 	16.4273, 	9.76126, 	0, 	68, 	-7.10543e-17, 	(0.121946,-1.2247);(0.165999,1.77904);(-1.50167,-0.700427);(1.30885,-0.764203);
19:13:43.357, 	1, 	2, 	16.538, 	25.2, 	1, 	72, 	0.304, 	(0.06378,-0.57513);
19:13:43.373, 	0, 	1, 	16.008, 	10.022, 	1, 	72, 	0.304, 	(0.755429,0.896336);(-1.31297,-1.05537);(1.64376,-0.600928);(-0.380543,1.5845);
19:13:43.418, 	1, 	2, 	18.4921, 	24.8207, 	1, 	68, 	0.608, 	(-0.381404,0.502927);
19:13:43.434, 	1, 	1, 	16.7543, 	13.1753, 	0, 	68, 	0.608, 	(1.37617,-0.456443);(-1.37293,1.01561);(-0.201452,-1.28997);(1.13944,0.57808);
19:13:43.458, 	1, 	2, 	17.1265, 	25.4287, 	1, 	68, 	0.912, 	(-0.71102,-0.101235);
19:13:43.474, 	1, 	1, 	17.6254, 	12.9382, 	0, 	68, 	0.912, 	(-0.595683,-1.13484);(1.21987,1.28465);(-1.52627,0.386213);(0.426555,-1.52204);
19:13:43.494, 	0, 	1, 	18.6063, 	12.5098, 	0, 	68, 	0.912, 	(1.21504,-0.0650718);(-1.2547,0.670652);(-0.0496511,-0.56245);(0.543694,0.31406);
19:13:43.535, 	0, 	1, 	17.8327, 	9.73266, 	0, 	68, 	0.912, 	(1.27428,-0.0680869);(-1.50483,0.462014);(0.40632,-1.66939);(1.22962,1.02191);
19:13:43.554, 	1, 	1, 	19.1448, 	11.9483, 	0, 	72, 	0.912, 	(1.28012,0.482561);(-1.67409,-0.109006);(0.91376,-1.35453);(0.74904,1.30613);
