
 NEW RECORD - 08-21-2023 18:30:47time, CRC, type, snr, data_snr, reward, per_val, Throughput
18:30:52.474, 	1, 	1, 	19.0532, 	10.6653, 	0, 	48, 	0.304, 	(0.333922,-0.845665);(-1.17029,0.920363);(1.30834,-0.676571);(-1.28096,0.0638145);
18:30:52.483, 	1, 	2, 	20.1045, 	22.3984, 	1, 	44, 	0.608, 	(-0.324199,0.153581);
18:30:52.570, 	1, 	1, 	19.504, 	11.777, 	0, 	44, 	0.608, 	(-0.473719,-0.425826);(0.42246,1.21119);(-0.11635,-1.84368);(-0.517897,1.50637);
18:30:52.584, 	1, 	2, 	16.3658, 	21.2011, 	1, 	40, 	0.912, 	(-0.234463,-0.305675);
18:30:52.670, 	1, 	1, 	20.7579, 	10.614, 	0, 	36, 	0.912, 	(-0.269138,0.697246);(1.08638,-0.787515);(-1.66587,0.700577);(1.57552,-0.0205671);
18:30:52.684, 	1, 	2, 	17.1936, 	21.3414, 	1, 	36, 	1.216, 	(0.166476,-0.361335);
18:30:52.770, 	1, 	1, 	20.2612, 	11.7892, 	0, 	36, 	1.216, 	(0.801865,-0.0658795);(-1.26924,-0.646585);(1.36118,1.12189);(-0.70886,-1.3531);
18:30:52.784, 	1, 	2, 	19.5293, 	23.6384, 	1, 	36, 	1.52, 	(0.0625648,-0.338615);
18:30:52.870, 	1, 	1, 	19.4404, 	12.6795, 	0, 	36, 	1.216, 	(-0.456808,-0.734209);(-0.0162436,1.44943);(0.345197,-1.63929);(-0.843212,1.17925);
18:30:52.884, 	1, 	2, 	21.0631, 	22.5497, 	1, 	32, 	1.52, 	(-0.02911,-0.353588);
18:30:52.971, 	1, 	1, 	18.8351, 	14.1195, 	0, 	28, 	1.52, 	(-0.553423,-0.0789422);(0.708848,0.771744);(-0.881544,-1.5912);(0.214573,1.56217);
18:30:52.984, 	1, 	2, 	20.1373, 	22.858, 	1, 	24, 	1.52, 	(-0.28657,0.118163);
18:30:53.071, 	1, 	1, 	20.0179, 	12.4877, 	0, 	24, 	1.52, 	(-0.836235,0.331848);(1.48658,0.166828);(-1.38062,-0.430786);(0.921316,0.858041);
18:30:53.085, 	1, 	2, 	20.3091, 	22.9039, 	1, 	20, 	1.52, 	(-0.108138,-0.397501);
18:30:53.171, 	1, 	1, 	18.6455, 	14.1926, 	0, 	20, 	1.52, 	(0.64767,-0.436547);(-1.28088,-0.114022);(1.77401,0.517108);(-1.2488,-0.942716);
18:30:53.185, 	1, 	2, 	20.922, 	23.5738, 	1, 	16, 	1.52, 	(0.241011,-0.348782);
18:30:53.271, 	1, 	1, 	19.8073, 	11.9702, 	0, 	16, 	1.52, 	(-0.440111,-0.549452);(0.232721,1.34891);(0.136967,-1.79345);(-0.723215,1.39851);
18:30:53.285, 	1, 	2, 	17.7587, 	20.7025, 	1, 	12, 	1.52, 	(-0.396706,-0.14869);
18:30:53.372, 	1, 	1, 	19.3511, 	12.5038, 	0, 	12, 	1.52, 	(-0.359643,0.802645);(1.20399,-0.621316);(-1.64152,0.525071);(1.46524,0.0936803);
18:30:53.385, 	1, 	2, 	18.4808, 	21.9489, 	1, 	8, 	1.52, 	(-0.06041,0.424458);
18:30:53.472, 	1, 	1, 	19.3216, 	11.206, 	0, 	4, 	1.52, 	(0.72601,-0.47849);(-1.49953,0.0245789);(1.66843,0.316669);(-1.20301,-0.81229);
18:30:53.485, 	1, 	2, 	18.7327, 	22.9082, 	1, 	-1.38778e-15, 	1.52, 	(-0.227744,-0.24509);
18:30:53.572, 	1, 	1, 	19.3454, 	13.9626, 	0, 	-1.38778e-15, 	1.52, 	(0.616839,0.610831);(-0.427796,-1.42855);(0.125801,1.53781);(0.471485,-1.27283);
18:30:53.586, 	0, 	2, 	18.6094, 	8.33681, 	0, 	-1.38778e-15, 	1.52, 	(0.0342853,-0.0405753);
18:30:53.672, 	1, 	1, 	20.3103, 	13.9322, 	0, 	4, 	1.216, 	(0.627633,0.142004);(0.872921,-1.65191);(-0.606548,1.08638);(0.894005,-0.423524);
18:30:53.688, 	1, 	2, 	19.3689, 	22.4777, 	1, 	4, 	1.216, 	(-0.0640228,-0.226482);
18:30:53.773, 	1, 	1, 	20.3051, 	22.4777, 	0, 	4, 	1.216, 	(-0.0640228,-0.226482);
18:30:53.786, 	0, 	2, 	19.576, 	12.8681, 	0, 	4, 	1.216, 	(0.0095728,0.101273);
18:30:53.873, 	0, 	1, 	19.5915, 	11.1559, 	0, 	8, 	0.912, 	(0.589121,-0.59913);(-1.35101,0.163898);(1.79252,0.101686);(-1.39448,-0.654387);
18:30:53.887, 	1, 	2, 	17.5803, 	20.4115, 	1, 	12, 	0.912, 	(-0.176602,-0.304346);
18:30:53.974, 	1, 	1, 	18.3697, 	11.0317, 	0, 	12, 	0.912, 	(0.0757139,0.354653);(0.27886,-0.914469);(-1.04518,1.44001);(1.28252,-0.823914);
18:30:53.988, 	0, 	2, 	19.2858, 	16.1434, 	0, 	12, 	0.912, 	(-0.0297478,0.148778);
18:30:54.074, 	1, 	1, 	19.8522, 	13.1744, 	0, 	16, 	0.608, 	(0.333032,0.834734);(0.268906,-1.48632);(-0.604571,1.50816);(1.01975,-0.97011);
18:30:54.088, 	0, 	2, 	20.1028, 	16.0265, 	0, 	16, 	0.608, 	(0.126141,0.11012);
18:30:54.174, 	1, 	1, 	20.6129, 	12.7586, 	0, 	20, 	0.608, 	(0.299117,0.622365);(0.335276,-1.08321);(-0.855572,1.63385);(1.17468,-1.03647);
