(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:24:38.905, 	0, 	2, 	17.9746, 	9.93986, 	0, 	20, 	1.52, 	(-0.0261553,0.0345081);
19:24:38.925, 	0, 	2, 	17.9156, 	9.46853, 	0, 	24, 	1.52, 	(-0.0356287,-0.0357183);
19:24:38.937, 	1, 	1, 	18.4535, 	15.9624, 	0, 	28, 	0.912, 	(-0.361006,0.0571467);(-0.0521685,-0.455944);(0.147487,-0.434579);(0.365749,-0.378725);
19:24:38.966, 	0, 	2, 	18.1692, 	8.59665, 	0, 	28, 	0.912, 	(0.0242501,-0.0297469);
19:24:38.985, 	0, 	2, 	16.6461, 	6.76759, 	0, 	32, 	0.608, 	(-0.0146695,-0.0212046);
19:24:38.997, 	1, 	1, 	17.2155, 	17.639, 	0, 	32, 	0.304, 	(-0.234733,0.174296);(-0.299763,-0.283099);(-0.00233942,-0.387635);(0.163979,-0.412273);
19:24:39.018, 	1, 	1, 	18.0233, 	21.3994, 	0, 	32, 	0.304, 	(-0.331026,-0.129561);(0.0840571,-0.392526);(0.252918,-0.335799);(0.417919,-0.185245);
19:24:39.046, 	0, 	2, 	16.3384, 	5.86125, 	0, 	32, 	0.304, 	(-0.0119165,-0.0124343);
19:24:39.067, 	0, 	2, 	16.8619, 	4.30402, 	0, 	36, 	0.304, 	(-0.0119453,-0.0190168);
19:24:39.081, 	1, 	1, 	16.1768, 	15.8286, 	0, 	40, 	-7.10543e-17, 	(-0.0259513,-0.210825);(0.234571,-0.119187);(0.130851,-0.0201733);(0.168994,0.084052);
19:24:39.098, 	1, 	1, 	16.6168, 	14.1219, 	0, 	40, 	-7.10543e-17, 	(-0.209664,-0.06743);(0.0262173,-0.296169);(0.255273,-0.224617);(0.400363,-0.109579);
19:24:39.127, 	0, 	2, 	13.3788, 	7.09198, 	0, 	40, 	-7.10543e-17, 	(-0.00817139,-0.0108617);
19:24:39.147, 	0, 	2, 	11.6936, 	9.968, 	0, 	44, 	-7.10543e-17, 	(0.00728904,0.00195681);
19:24:39.158, 	1, 	1, 	18.2039, 	15.1961, 	0, 	44, 	-7.10543e-17, 	(-0.323854,-0.15585);(0.0446084,-0.276621);(0.203398,-0.190695);(0.288962,0.0274082);
19:24:39.178, 	1, 	1, 	18.2576, 	15.9106, 	0, 	40, 	-7.10543e-17, 	(-0.112223,0.318157);(-0.362817,0.0802971);(-0.283795,-0.153769);(-0.195476,-0.155872);
19:24:39.207, 	0, 	2, 	14.2994, 	7.34498, 	0, 	40, 	-7.10543e-17, 	(0.0102624,-0.024707);
19:24:39.228, 	0, 	2, 	16.8171, 	5.89557, 	0, 	44, 	-7.10543e-17, 	(0.00676828,-0.00551288);
19:24:39.243, 	1, 	1, 	16.272, 	19.0985, 	0, 	48, 	-7.10543e-17, 	(-0.0422678,0.21081);(-0.188776,0.131163);(-0.0640554,0.0306847);(-0.0864756,-0.0313452);
19:24:39.259, 	1, 	1, 	16.2373, 	11.4976, 	0, 	48, 	-7.10543e-17, 	(0.127952,0.170732);(-0.121141,0.347549);(-0.0819,0.195333);(-0.20463,0.168794);
19:24:39.288, 	0, 	2, 	11.8094, 	7.32496, 	0, 	48, 	-7.10543e-17, 	(-0.00528925,-0.0147331);
19:24:39.308, 	0, 	2, 	10.3389, 	11.9836, 	0, 	48, 	-7.10543e-17, 	(-0.0607641,0.00131975);
19:24:39.319, 	0, 	1, 	8.00222, 	7.86909, 	0, 	52, 	-7.10543e-17, 	(0.00536142,0.0466938);(-0.0608691,0.130012);(-0.149753,0.0793588);(-0.118359,0.229614);
19:24:39.341, 	0, 	1, 	8.55759, 	-1.41485, 	0, 	56, 	-7.10543e-17, 	(-0.0532952,0.000298945);(0.0548146,-0.142836);(0.0635247,-0.0653099);(0.111508,-0.079818);
19:24:39.359, 	0, 	1, 	8.70361, 	9.43597, 	0, 	56, 	-7.10543e-17, 	(-0.0646024,-0.000492522);(-0.106378,0.0171795);(0.086337,-0.145871);(0.0432587,-0.0217725);
19:24:39.380, 	0, 	1, 	10.0915, 	8.73892, 	0, 	60, 	-7.10543e-17, 	(0.101037,0.138688);(-0.090617,0.106658);(-0.0382088,0.00178473);(-0.0122826,0.00347987);
19:24:39.400, 	1, 	1, 	12.739, 	14.5749, 	0, 	60, 	-7.10543e-17, 	(0.124913,0.248066);(-0.12244,0.142229);(-0.0902623,0.126956);(-0.0837713,0.0257208);
19:24:39.419, 	0, 	1, 	12.8825, 	12.7352, 	0, 	60, 	-7.10543e-17, 	(0.156671,-0.0329243);(0.188553,0.060536);(0.114575,0.14172);(0.0992215,0.0816101);
19:24:39.449, 	0, 	2, 	7.88336, 	4.22141, 	0, 	60, 	-7.10543e-17, 	(-0.00980973,-0.00587898);
19:24:39.460, 	0, 	1, 	10.5511, 	13.2969, 	0, 	64, 	-7.10543e-17, 	(0.0468858,-0.130299);(0.0382461,-0.00663238);(0.0230437,0.0497328);(-0.0166796,0.0842569);
19:24:39.480, 	0, 	1, 	11.1272, 	8.87209, 	0, 	64, 	-7.10543e-17, 	(0.0760245,0.10221);(0.0903412,0.120815);(-0.0881312,0.0562376);(-0.0624474,-0.0468083);
19:24:39.500, 	0, 	1, 	9.46081, 	7.81861, 	0, 	64, 	-7.10543e-17, 	(-0.0822774,-0.0354138);(-0.16224,0.0829951);(0.0254492,-0.0390942);(-0.0527652,-0.000298968);
