slot,id,beam,CRC,SNR
0,101,13,1,39.7053
0,101,13,1,38.8801
0,101,13,1,39.7830
0,101,13,1,40.4300
0,101,13,0,39.9792
0,101,13,1,41.1969
0,101,13,1,39.4495
0,101,13,1,39.9357
0,101,13,1,39.2271
0,101,13,1,39.8528
0,101,13,1,40.4983
0,101,13,0,38.7767
0,101,13,1,40.2467
0,101,13,1,39.1283
0,101,13,1,40.6049
0,101,14,1,39.6532
0,101,14,1,38.3174
0,101,14,1,39.6961
0,101,14,1,39.3617
0,101,14,1,40.4821
0,101,14,1,39.3724
0,101,14,1,40.1638
0,101,14,1,39.2354
0,101,14,1,40.7966
0,101,14,1,39.4213
0,101,14,1,39.5583
0,101,14,1,41.3020
0,101,14,1,39.6668
0,101,14,1,39.7769
0,101,14,1,39.4353
0,101,14,1,41.1961
0,101,14,1,40.1777
0,101,14,1,39.8065
0,101,14,1,39.3891
0,101,14,1,39.7435
0,101,14,1,39.2607
0,101,14,1,39.8330
0,101,14,1,38.4546
0,101,14,1,39.6136
0,101,14,1,41.0643
0,101,14,1,39.8246
0,101,14,1,38.9569
0,101,14,1,40.4012
0,101,14,1,39.7992
0,101,14,1,39.4042
0,101,14,1,39.7075
0,101,14,1,38.3526
0,101,14,1,40.1953
0,101,14,1,38.5302
0,101,14,1,40.3237
0,101,14,1,40.4341
0,101,14,1,38.7133
0,101,14,1,40.9907
0,101,14,1,39.5700
0,101,14,1,40.9881
0,101,14,1,40.4716
0,101,14,1,39.9349
0,101,14,1,38.9063
0,101,14,1,40.4877
0,101,14,1,39.4416
0,101,14,1,40.0024
0,101,14,1,39.8189
0,101,14,1,40.4120
0,101,14,1,40.9172
0,101,14,1,40.4096
0,101,15,1,38.8117
0,101,15,1,40.5411
0,101,15,1,39.6015
0,101,15,1,38.7232
0,101,15,1,39.8403
0,101,15,1,39.4458
0,101,15,1,39.3406
0,101,15,1,39.6565
0,101,15,1,41.6877
0,101,15,1,40.9173
0,101,15,1,39.4213
0,101,15,1,39.1725
0,101,15,1,39.6664
0,101,15,1,39.8755
0,101,15,1,39.7368
0,101,15,1,40.0995
0,101,15,1,39.9246
0,101,15,0,39.6692
0,101,15,1,39.5909
0,101,15,1,39.4862
0,101,15,1,39.1881
0,101,15,1,39.9525
0,101,15,1,40.1345
0,101,15,1,39.7934
0,101,15,0,39.8647
0,101,15,1,39.8491
0,101,15,1,39.4892
0,101,15,1,41.0332
0,101,15,1,39.2519
0,101,15,1,40.6047
0,101,15,1,39.9214
0,101,15,1,41.1264
0,101,15,1,39.8694
0,101,15,1,38.5516
0,101,15,1,38.9999
0,101,15,1,40.5444
0,101,15,1,40.6165
0,101,15,1,40.7076
0,101,15,1,39.8508
0,101,15,1,40.4010
0,101,15,1,41.3954
0,101,15,1,40.2176
0,101,15,1,40.4513
0,101,15,1,39.8908
0,101,15,1,39.6065
0,101,15,1,39.3670
0,101,15,1,40.3497
0,101,15,1,38.6731
0,101,15,1,40.2571
0,101,15,1,39.3809
0,101,16,1,29.1226
0,101,16,1,28.5098
0,101,16,1,31.0034
0,101,16,1,29.8369
0,101,16,1,28.4417
0,101,16,1,29.4873
0,101,16,1,29.3015
0,101,16,1,28.1242
0,101,16,1,29.6469
0,101,16,1,29.7375
0,101,16,1,28.8861
0,101,16,1,30.0544
0,101,16,1,28.4158
0,101,16,1,27.9916
0,101,16,1,28.8888
0,101,16,1,27.9114
0,101,16,0,28.9107
0,101,16,1,29.9216
0,101,16,1,28.7122
0,101,16,1,28.9935
0,101,16,1,30.2950
0,101,16,1,28.7618
0,101,16,1,29.3157
0,101,16,0,28.9620
0,101,16,1,27.7655
0,101,16,1,29.4471
0,101,16,1,30.5403
0,101,16,1,28.6151
0,101,16,1,29.1933
0,101,16,1,29.4493
0,101,16,1,28.8553
0,101,16,1,29.1595
0,101,16,1,28.1647
0,101,16,1,29.1239
0,101,16,1,28.6657
0,101,16,1,28.9971
0,101,16,1,28.8553
0,101,16,1,29.3804
0,101,16,1,28.3881
0,101,16,1,28.2851
0,101,16,1,27.8569
0,101,16,1,28.3847
0,101,16,1,29.0742
0,101,16,1,28.9547
0,101,16,1,29.0185
0,101,16,1,28.2175
0,101,16,1,28.8731
0,101,16,1,27.8410
0,101,16,1,28.5470
0,101,16,1,29.0905
0,101,17,1,28.6425
0,101,17,1,30.5737
0,101,17,1,27.6395
0,101,17,1,29.1122
0,101,17,1,27.5692
0,101,17,1,28.1427
0,101,17,1,28.5167
0,101,17,1,28.0090
0,101,17,1,29.9972
0,101,17,1,28.3682
0,101,17,1,29.2770
0,101,17,1,29.4051
0,101,17,1,28.9958
0,101,17,1,29.3019
0,101,17,1,28.6508
0,101,17,1,29.5183
0,101,17,1,27.3827
0,101,17,1,28.1970
0,101,17,1,29.8964
0,101,17,1,29.1707
0,101,17,1,30.7767
0,101,17,1,28.8891
0,101,17,1,29.1581
0,101,17,1,28.4307
0,101,17,1,29.4225
0,101,17,1,29.4850
0,101,17,1,28.4341
0,101,17,1,28.5642
0,101,17,1,29.0920
0,101,17,1,28.8185
0,101,17,1,28.0896
0,101,17,1,29.0679
0,101,17,1,29.1419
0,101,17,1,30.2335
0,101,17,1,29.0945
0,101,17,1,28.0440
0,101,17,1,29.0902
0,101,17,1,28.1751
0,101,17,1,28.9408
0,101,17,1,28.2883
0,101,17,1,29.7967
0,101,17,1,30.9398
0,101,17,1,29.3442
