(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:57:21.246, 	1, 	2, 	16.4218, 	25.0906, 	1, 	32, 	0.912, 	(0.66095,-0.178747);
18:57:21.260, 	0, 	1, 	15.9189, 	9.58799, 	1, 	32, 	0.912, 	(-1.02785,0.182333);(1.3272,-0.256382);(-1.18975,1.26759);(0.0540038,-1.4448);
18:57:21.279, 	0, 	1, 	15.1144, 	13.4166, 	0, 	36, 	0.608, 	(-0.42021,1.2418);(0.293992,-1.51539);(0.567275,0.987955);(-0.849275,-0.351624);
18:57:21.306, 	1, 	2, 	15.307, 	25.2175, 	1, 	36, 	0.912, 	(-0.534271,0.429327);
18:57:21.379, 	0, 	1, 	15.4733, 	10.5249, 	1, 	36, 	0.912, 	(-1.23562,0.233427);(1.56096,-0.330884);(-1.03678,1.28812);(-0.0546408,-1.41931);
18:57:21.407, 	1, 	2, 	14.9159, 	24.6042, 	1, 	36, 	1.216, 	(-0.484358,0.505474);
18:57:21.439, 	0, 	1, 	16.0927, 	9.95323, 	1, 	36, 	1.216, 	(-0.236088,1.09262);(0.390271,-1.47459);(0.69815,1.56199);(-1.40982,-0.594189);
18:57:21.548, 	1, 	2, 	16.1316, 	24.4647, 	1, 	40, 	1.216, 	(0.134857,0.681262);
18:57:21.560, 	0, 	1, 	15.9274, 	10.0373, 	1, 	40, 	1.216, 	(-1.18836,0.484731);(1.52411,-0.657557);(-0.640241,1.3626);(-0.4333,-1.28817);
18:57:21.602, 	0, 	1, 	17.1604, 	8.0378, 	0, 	44, 	1.216, 	(-0.165533,1.18025);(0.243283,-1.60091);(0.905919,1.3842);(-1.48992,-0.23838);
18:57:21.620, 	0, 	1, 	15.1513, 	9.48324, 	0, 	48, 	1.216, 	(-0.67688,-0.0773494);(0.928343,0.233092);(-1.5278,0.733331);(0.386109,-1.42724);
18:57:21.682, 	0, 	1, 	14.6471, 	7.36881, 	0, 	48, 	0.912, 	(0.884001,0.864624);(-1.06779,-1.06679);(1.77515,0.0199213);(-1.04606,1.14149);
18:57:21.723, 	1, 	1, 	15.8357, 	9.26828, 	0, 	48, 	0.912, 	(1.09648,-0.236923);(-1.38524,0.297993);(1.03055,-1.49493);(0.395426,1.5396);
