(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:07:24.145, 	1, 	2, 	24.6239, 	23.4591, 	1, 	8, 	3.04, 	(0.188094,-0.167495);
17:07:24.166, 	1, 	2, 	19.6466, 	22.63, 	1, 	8, 	3.04, 	(0.205034,0.298047);
17:07:24.185, 	1, 	2, 	23.7402, 	23.2027, 	1, 	8, 	3.04, 	(-0.253468,-0.0456885);
17:07:24.206, 	1, 	2, 	22.0226, 	21.659, 	1, 	8, 	3.04, 	(0.226589,-0.192591);
17:07:24.226, 	1, 	2, 	23.568, 	21.584, 	1, 	8, 	3.04, 	(-0.240639,0.139966);
17:07:24.246, 	0, 	2, 	14.4161, 	14.0849, 	1, 	8, 	3.04, 	(0.106729,-0.0378389);
17:07:24.266, 	1, 	2, 	23.4206, 	21.51, 	1, 	12, 	2.736, 	(0.0970285,0.231787);
17:07:24.276, 	1, 	1, 	23.3958, 	22.5363, 	0, 	12, 	2.432, 	(-0.185622,-0.6133);(0.569819,-0.410858);(0.49117,-0.11515);(0.509439,0.106535);
17:07:24.307, 	0, 	2, 	14.7887, 	11.5803, 	0, 	12, 	2.432, 	(0.0557707,-0.0274702);
17:07:24.327, 	0, 	2, 	21.233, 	18.198, 	0, 	16, 	2.128, 	(0.165884,0.0067986);
17:07:24.337, 	1, 	1, 	21.5879, 	20.68, 	0, 	16, 	1.52, 	(-0.195005,-0.404314);(0.528396,-0.22188);(0.651108,-0.0280586);(0.640308,0.327112);
17:07:24.357, 	1, 	1, 	20.2417, 	18.1419, 	0, 	12, 	1.216, 	(0.089687,0.466519);(-0.443217,0.272094);(-0.582499,0.0186808);(-0.526014,-0.296527);
17:07:24.377, 	1, 	2, 	19.4259, 	19.0337, 	1, 	12, 	1.216, 	(-0.1012,0.114894);
17:07:24.398, 	1, 	2, 	17.7277, 	18.5678, 	1, 	12, 	1.216, 	(0.119677,-0.134284);
17:07:24.417, 	1, 	2, 	18.7066, 	19.8291, 	1, 	12, 	1.216, 	(-0.147651,-0.0361378);
