 NEW RECORD - 08-21-2023 18:30:49, 	peak_power,	 snr_est,	 range,	 angle
18:31:00.489, 	159.683, 	24.5504, 	0.150294, 	-36.9819
18:31:00.489, 	159.683, 	24.5504, 	0.150294, 	-36.9819
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:00.538, 	51.9352, 	19.4458, 	0.150294, 	-39.2579
18:31:01.090, 	31.8319, 	17.2262, 	3.15616, 	-63.9534
18:31:01.090, 	31.8319, 	17.2262, 	3.15616, 	-63.9534
18:31:01.140, 	31.0235, 	17.1827, 	3.30646, 	-77.5707
18:31:01.140, 	31.0235, 	17.1827, 	3.30646, 	-77.5707
18:31:01.190, 	23.8721, 	15.202, 	3.00587, 	-58.382
18:31:01.190, 	23.8721, 	15.202, 	3.00587, 	-58.382
18:31:01.240, 	26.7711, 	16.3825, 	3.15616, 	-58.382
18:31:01.240, 	26.7711, 	16.3825, 	3.15616, 	-58.382
18:31:01.290, 	21.2169, 	16.0589, 	3.00587, 	-61.9835
18:31:01.290, 	21.2169, 	16.0589, 	3.00587, 	-61.9835
18:31:01.290, 	21.2169, 	16.0589, 	3.00587, 	-61.9835
18:31:01.290, 	21.2169, 	16.0589, 	3.00587, 	-61.9835
18:31:01.290, 	21.2169, 	16.0589, 	3.00587, 	-61.9835
18:31:01.290, 	21.2169, 	16.0589, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.541, 	56.1166, 	17.6136, 	3.00587, 	-61.9835
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:01.891, 	24.1299, 	15.8812, 	3.30646, 	-63.9534
18:31:02.891, 	1603.32, 	32.8744, 	0, 	73.9327
18:31:02.891, 	1603.32, 	32.8744, 	0.0, 	73.9327
18:31:02.891, 	1603.32, 	32.8744, 	0.0, 	73.9327
18:31:02.991, 	1005.06, 	33.8473, 	76.6497, 	68.3862
18:31:02.991, 	1005.06, 	33.8473, 	76.6497, 	68.3862
18:31:02.991, 	1005.06, 	33.8473, 	76.6497, 	68.3862
18:31:03.091, 	682.525, 	31.0979, 	76.4994, 	63.9534
18:31:03.091, 	682.525, 	31.0979, 	76.4994, 	63.9534
18:31:03.091, 	682.525, 	31.0979, 	76.4994, 	63.9534
18:31:03.192, 	503.904, 	28.742, 	76.4994, 	61.9835
18:31:03.192, 	503.904, 	28.742, 	76.4994, 	61.9835
18:31:03.192, 	503.904, 	28.742, 	76.4994, 	61.9835
