2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.0854, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.0854, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.0854, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.0854, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.7707, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.4967, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	14.6338, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	14.6338, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	14.6338, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	14.6338, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	14.6338, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.7328, 	1, 	1.824
2, 	-63.9534, 	-63.9534, 	23.7328, 	1, 	1.824
2, 	-63.9534, 	-63.9534, 	23.7328, 	1, 	1.824
2, 	-63.9534, 	-63.9534, 	23.7328, 	1, 	1.824
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.9048, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.1105, 	1, 	1.824
2, 	-63.9534, 	-63.9534, 	23.1105, 	1, 	1.824
2, 	-63.9534, 	-63.9534, 	23.1105, 	1, 	1.824
2, 	-63.9534, 	-63.9534, 	23.1105, 	1, 	1.824
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	10.6671, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	11.6342, 	1, 	1.52
