19:10:12.914, 	124.797, 	21.2986, 	3.45675, 	-56.7136
19:10:13.063, 	147, 	23.2581, 	3.45675, 	-58.382
19:10:13.113, 	84.2281, 	19.9155, 	3.45675, 	-58.382
19:10:13.264, 	65.6928, 	19.2709, 	3.30646, 	-58.382
19:10:13.314, 	110.164, 	22.7364, 	3.45675, 	-60.1334
19:10:13.364, 	269.127, 	25.6454, 	3.45675, 	-58.382
19:10:13.414, 	288.479, 	26.052, 	3.45675, 	-58.382
19:10:13.555, 	168.543, 	25.3281, 	3.45675, 	-56.7136
19:10:13.656, 	94.1399, 	22.0229, 	3.45675, 	-58.382
19:10:13.755, 	320.622, 	27.6284, 	3.45675, 	-58.382
19:10:13.856, 	230.119, 	26.5841, 	3.45675, 	-58.382
19:10:13.956, 	144.605, 	24.3094, 	3.45675, 	-58.382
19:10:14.056, 	238.972, 	25.0806, 	3.45675, 	-58.382
19:10:14.156, 	224.765, 	24.5374, 	3.60704, 	-56.7136
19:10:14.256, 	156.992, 	23.2757, 	3.45675, 	-58.382
19:10:14.356, 	98.1673, 	22.2422, 	3.45675, 	-56.7136
19:10:14.456, 	204.257, 	26.0311, 	3.60704, 	-56.7136
19:10:14.556, 	103.528, 	20.5177, 	3.30646, 	-56.7136
19:10:14.656, 	87.4709, 	18.7623, 	3.45675, 	-58.382
19:10:14.756, 	20.1209, 	17.3188, 	3.30646, 	-58.382
19:10:14.857, 	366.457, 	26.793, 	3.45675, 	-58.382
19:10:14.957, 	27.7196, 	16.6704, 	3.15616, 	-66.0729
19:10:15.057, 	48.9505, 	17.5121, 	3.30646, 	-60.1334
19:10:15.157, 	218.205, 	25.0523, 	3.45675, 	-60.1334
19:10:15.257, 	85.21, 	19.5823, 	3.30646, 	-60.1334
19:10:15.357, 	61.7942, 	19.652, 	3.30646, 	-63.9534
19:10:15.457, 	72.1962, 	18.8707, 	3.30646, 	-61.9835
19:10:15.519, 	179.816, 	25.8634, 	3.30646, 	-61.9835
19:10:15.569, 	150.815, 	24.1275, 	3.15616, 	-63.9534
19:10:15.619, 	182.536, 	25.2047, 	3.15616, 	-63.9534
19:10:15.669, 	172.44, 	22.5901, 	3.15616, 	-61.9835
19:10:15.719, 	142.877, 	23.6651, 	3.15616, 	-61.9835
19:10:15.770, 	158.15, 	23.7599, 	3.15616, 	-61.9835
19:10:15.820, 	82.4722, 	22.3226, 	3.15616, 	-60.1334
19:10:15.870, 	245.314, 	26.8689, 	3.15616, 	-63.9534
19:10:15.920, 	134.993, 	21.4669, 	3.30646, 	-63.9534
19:10:15.970, 	84.499, 	19.7129, 	3.15616, 	-63.9534
19:10:16.020, 	196.371, 	27.8126, 	3.15616, 	-61.9835
19:10:16.070, 	77.6341, 	20.4937, 	3.15616, 	-63.9534
19:10:16.119, 	168.949, 	25.3863, 	3.15616, 	-61.9835
19:10:16.170, 	212.112, 	26.7358, 	3.15616, 	-61.9835
19:10:16.221, 	134.193, 	22.9425, 	3.15616, 	-61.9835
19:10:16.271, 	157.115, 	25.0636, 	3.15616, 	-60.1334
19:10:16.321, 	149.53, 	25.1341, 	3.15616, 	-60.1334
19:10:16.371, 	175.583, 	23.9894, 	3.15616, 	-60.1334
19:10:16.421, 	168.982, 	23.951, 	3.15616, 	-61.9835
19:10:16.521, 	55.431, 	17.0546, 	3.30646, 	-60.1334
